Date	LogBook ID	IDs
1868-01-04	Atlantic (bark) 1865-1868	[14073, 14072]
1837-10-16	General Jackson (ship) 1836-18…	[86105, 86104]
1847-03-30	Splendid (Ship) 1846-1849	[46265, 46264]
1848-04-25	Splendid (Ship) 1846-1849	[46950, 46949]
1842-09-26	American (Ship) 1841-1845	[106240, 106237]
1844-01-27	Blackstone (Bark) 1843-1845	[38918, 38915]
1845-02-03	Hibernia (Ship) 1844-1846	[24046, 24045]
1855-10-14	Rodman (Bark) 1855-1859	[118531, 118529]
1865-10-24	Java (Bark) 1864-1867	[68943, 68941]
1866-10-22	Java (Bark) 1864-1867	[71557, 71556]
1838-01-04	Mary Mitchell (ship) 1835-1838	[54985, 54984]
1848-09-18	Splendid (Ship) 1846-1849	[47151, 47150]
1865-06-03	Lancer (Ship) 1865-1868	[95380, 95379]
1867-01-14	Lancer (Ship) 1865-1868	[99899, 99898]
1842-12-10	Mercator (Ship) 1840-1843	[123630, 123629]
1860-06-27	Barnstable (Bark) 1860-1864	[134579, 134578]
1862-07-07	Barnstable (Bark) 1860-1864	[136013, 135642]
1862-07-08	Barnstable (Bark) 1860-1864	[136014, 135643]
1862-07-09	Barnstable (Bark) 1860-1864	[136015, 135644]
1862-07-10	Barnstable (Bark) 1860-1864	[136016, 135645]
1862-07-11	Barnstable (Bark) 1860-1864	[136017, 135646]
1862-07-12	Barnstable (Bark) 1860-1864	[136018, 135647]
1862-07-13	Barnstable (Bark) 1860-1864	[136019, 135648]
1862-07-14	Barnstable (Bark) 1860-1864	[136020, 135649]
1862-07-15	Barnstable (Bark) 1860-1864	[136021, 135650]
1862-07-16	Barnstable (Bark) 1860-1864	[136022, 135651]
1862-07-17	Barnstable (Bark) 1860-1864	[136023, 135652]
1862-07-18	Barnstable (Bark) 1860-1864	[136024, 135653]
1862-07-19	Barnstable (Bark) 1860-1864	[136025, 135654]
1862-07-20	Barnstable (Bark) 1860-1864	[136026, 135655]
1862-07-21	Barnstable (Bark) 1860-1864	[136027, 135656]
1862-07-22	Barnstable (Bark) 1860-1864	[136028, 135657]
1862-07-23	Barnstable (Bark) 1860-1864	[136029, 135658]
1862-07-24	Barnstable (Bark) 1860-1864	[136030, 135659]
1862-07-25	Barnstable (Bark) 1860-1864	[136031, 135660]
1862-07-26	Barnstable (Bark) 1860-1864	[136032, 135661]
1862-07-27	Barnstable (Bark) 1860-1864	[136033, 135662]
1862-07-28	Barnstable (Bark) 1860-1864	[136034, 135663]
1862-07-29	Barnstable (Bark) 1860-1864	[136035, 135664]
1862-07-30	Barnstable (Bark) 1860-1864	[136036, 135665]
1862-07-31	Barnstable (Bark) 1860-1864	[136037, 135666]



